Player,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,,,,
Altec,15,46.70%,3.8,3.3,2.1,4.5,8.6,,,,
Apollo,18,22.20%,3.1,2.8,2.3,4.2,8.7,,,,
Doublelift,18,50%,3.4,4.6,2.6,4.3,8.8,,,,
Freeze,16,37.50%,4,3.4,1.9,4.4,9.5,,,,
KEITH,16,37.50%,2.7,3.4,2.4,3.1,8.1,,,,
LOD,5,20%,2.3,3.6,3,3.4,8,,,,
Mash,19,26.30%,4,2.4,1.8,4.9,8.3,,,,
Ohq,1,0%,1,1,3,2,7.9,,,,
Piglet,18,55.60%,6.3,4.8,1.7,5.7,8.5,,,,
Sneaky,18,66.70%,4.1,4.4,2.4,5.3,8.3,,,,
Stixxay,18,72.20%,4.9,3.6,1.7,4.7,8.9,,,,
WildTurtle,18,94.40%,7,5.8,1.7,6.3,8.9,,,,
