Player,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,%Dmg,Avg DPM
Altec,19,63.20%,5.2,4.7,1.9,5.5,9.5,420,31.1,570
Apollo,19,68.40%,7.3,4.8,1.8,8.6,8.2,404,25.9,501
CoreJJ,18,55.60%,4.9,3.6,2,6.2,7.9,364,29.8,510
Doublelift,19,68.40%,5,6.2,2.6,6.8,9,434,30.3,588
Emperor,9,33.30%,3.4,5.1,3.1,5.4,8.5,398,25.6,522
KEITH,1,100%,5.7,4,3,13,8.3,391,23.6,594
Lattman,9,0%,1.9,2.2,4.2,5.7,8.1,343,26.8,467
maplestreet,2,0%,2,2,4,6,7,317,21.9,371
Nien,17,35.30%,3.3,4.4,2.8,4.9,8.3,375,25.9,436
otter,18,22.20%,2.5,3.4,2.9,3.9,8.1,355,23.4,399
Piglet,19,73.70%,9.9,5,1.2,6.9,8.8,409,30.2,579
Sneaky,19,36.80%,3.9,4.2,2.4,5,8.5,385,28.2,510
WildTurtle,17,58.80%,3.4,3.5,2.6,5.4,8.6,387,24.2,405
,,,,,,,,,,
